Település;Budapest;Békéscsaba;Debrecen;Eger;Gyõr;Kaposvár;Kecskemét;Miskolc;Nyíregyháza;Pécs;Salgótarján;Szeged;Székesfehérvár;Szekszárd;Szolnok;Szombathely;Tatabánya;Veszprém;Zalaegerszeg;Ajka;Baja;Cegléd;Dunaújváros;Érd;Gödöllõ;Gyöngyös;Gyula;Hajdúböszörmény;Hódmezõvásárhely;Kazincbarcika;Kiskunfélegyháza;Kiskunhalas;Mosonmagyaróvár;Nagykanizsa;Orosháza;Ózd;Pápa;Sopron;Szentes;Vác
 Budapest; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Békéscsaba;216; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Debrecen;231;137; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Eger;158;200;136; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Gyõr;126;340;354;280; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Kaposvár;189;323;417;344;203; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Kecskemét;81;136;182;171;205;188; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Miskolc;177;235;108;71;299;362;190; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Nyíregyháza;234;187;49;139;356;419;232;111; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Pécs;205;285;353;359;301;64;171;378;435; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Salgótarján;109;260;189;107;231;295;179;119;191;311; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Szeged;165;103;227;257;288;219;86;276;277;182;263; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Székesfehérvár;67;278;295;221;88;127;142;240;297;158;172;226; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Szekszárd;153;241;301;307;248;91;118;326;383;61;258;139;107; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Szolnok;108;119;132;137;232;292;57;156;182;228;148;122;170;176; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Szombathely;231;442;459;385;121;175;306;404;461;238;337;390;165;245;334; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Tatabánya;62;276;290;217;66;189;140;235;293;237;168;225;62;184;168;172; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Veszprém;111;322;338;265;81;123;186;284;341;154;216;270;45;125;214;121;102; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Zalaegerszeg;233;443;460;387;155;124;307;406;463;186;338;391;170;214;335;67;206;126; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Ajka;148;359;375;302;94;160;223;321;378;191;253;307;82;162;251;91;139;38;96; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Baja;176;205;291;280;271;118;109;299;340;81;281;102;143;38;166;282;208;161;253;198; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
 Cegléd;74;146;159;138;198;258;35;156;214;206;129;121;136;153;34;300;134;180;301;217;144; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
