"year","month","day","temp"
1960,1,1,43
1960,1,2,46
1960,1,3,54
1960,1,4,39
1960,1,5,37
1960,1,6,38
1960,1,7,38
1960,1,8,48
1960,1,9,35
1960,1,10,30
1960,1,11,28
1960,1,12,34
1960,1,13,34
1960,1,14,38
1960,1,15,40
1960,1,16,36
1960,1,17,41
1960,1,18,36
1960,1,19,40
1960,1,20,36
1960,1,21,32
1960,1,22,33
1960,1,23,36
1960,1,24,38
1960,1,25,38
1960,1,26,46
1960,1,27,49
1960,1,28,38
1960,1,29,48
1960,1,30,41
1960,1,31,36
1960,2,1,36
1960,2,2,35
1960,2,3,43
1960,2,4,52
1960,2,5,50
1960,2,6,56
1960,2,7,43
1960,2,8,40
1960,2,9,57
1960,2,10,53
1960,2,11,65
1960,2,12,42
1960,2,13,30
1960,2,14,33
1960,2,15,37
1960,2,16,42
1960,2,17,47
1960,2,18,52
1960,2,19,43
1960,2,20,39
1960,2,21,34
1960,2,22,38
1960,2,23,40
1960,2,24,40
1960,2,25,35
1960,2,26,46
1960,2,27,39
1960,2,28,41
1960,2,29,36
1960,3,1,32
1960,3,2,36
1960,3,3,27
1960,3,4,29
1960,3,5,33
1960,3,6,36
1960,3,7,31
1960,3,8,30
1960,3,9,34
1960,3,10,30
1960,3,11,32
1960,3,12,37
1960,3,13,39
1960,3,14,38
1960,3,15,42
1960,3,16,39
1960,3,17,37
1960,3,18,47
1960,3,19,42
1960,3,20,45
1960,3,21,39
1960,3,22,36
1960,3,23,39
1960,3,24,50
1960,3,25,30
1960,3,26,36
1960,3,27,55
1960,3,28,70
1960,3,29,55
1960,3,30,60
1960,3,31,63
1960,4,1,65
1960,4,2,46
1960,4,3,48
1960,4,4,71
1960,4,5,56
1960,4,6,45
1960,4,7,50
1960,4,8,55
1960,4,9,47
1960,4,10,49
1960,4,11,49
1960,4,12,67
1960,4,13,62
1960,4,14,76
1960,4,15,83
1960,4,16,66
1960,4,17,63
1960,4,18,65
1960,4,19,61
1960,4,20,65
1960,4,21,75
1960,4,22,80
1960,4,23,65
1960,4,24,70
1960,4,25,87
1960,4,26,70
1960,4,27,65
1960,4,28,67
1960,4,29,71
1960,4,30,63
1960,5,1,52
1960,5,2,65
1960,5,3,72
1960,5,4,72
1960,5,5,75
1960,5,6,78
1960,5,7,75
1960,5,8,62
1960,5,9,66
1960,5,10,64
1960,5,11,66
1960,5,12,71
1960,5,13,69
1960,5,14,65
1960,5,15,73
1960,5,16,81
1960,5,17,80
1960,5,18,67
1960,5,19,82
1960,5,20,73
1960,5,21,76
1960,5,22,60
1960,5,23,61
1960,5,24,74
1960,5,25,74
1960,5,26,80
1960,5,27,79
1960,5,28,72
1960,5,29,69
1960,5,30,70
1960,5,31,78
1960,6,1,79
1960,6,2,84
1960,6,3,78
1960,6,4,77
1960,6,5,84
1960,6,6,83
1960,6,7,76
1960,6,8,78
1960,6,9,75
1960,6,10,76
